,primary_sector,category_list,variable,main_sector
0,Media,Media,Entertainment,1
1,Application Platforms,Application Platforms,"News, Search and Messaging",1
2,Apps,Apps,"News, Search and Messaging",1
3,Curated Web,Curated Web,"News, Search and Messaging",1
4,Software,Software,Others,1
5,Biotechnology,Biotechnology,Cleantech / Semiconductors,1
6,Education,Education,Others,1
7,Beauty,Beauty,Health,1
8,Local Businesses,Local Businesses,Others,1
9,Cosmetics,Cosmetics,Health,1
10,Games,Games,Entertainment,1
11,Hospitality,Hospitality,Others,1
12,Health Care,Health Care,Health,1
13,iOS,iOS,Others,1
14,Social Travel,Social Travel,"Social, Finance, Analytics, Advertising",1
15,Enterprise Software,Enterprise Software,Others,1
16,Advertising,Advertising,"Social, Finance, Analytics, Advertising",1
17,E-Commerce,E-Commerce,Others,1
18,Internet,Internet,"News, Search and Messaging",1
19,Service Providers,Service Providers,Others,1
20,Mobile,Mobile,"News, Search and Messaging",1
21,Manufacturing,Manufacturing,Manufacturing,1
22,Public Transportation,Public Transportation,Health,1
23,Travel,Travel,Entertainment,1
24,Baby Accessories,Baby Accessories,Health,1
25,Cars,Cars,Automotive & Sports,1
26,Clean Technology,Clean Technology,Cleantech / Semiconductors,1
27,Health and Wellness,Health and Wellness,Health,1
28,News,News,"News, Search and Messaging",1
29,Art,Art,Entertainment,1
30,Big Data,Big Data,"Social, Finance, Analytics, Advertising",1
31,Customer Service,Customer Service,"Social, Finance, Analytics, Advertising",1
32,Real Estate,Real Estate,Others,1
33,EdTech,EdTech,Others,1
34,Computers,Computers,Manufacturing,1
35,Services,Services,Others,1
36,Cloud Computing,Cloud Computing,"News, Search and Messaging",1
37,Ad Targeting,Ad Targeting,"Social, Finance, Analytics, Advertising",1
38,Credit Cards,Credit Cards,"Social, Finance, Analytics, Advertising",1
39,Hardware + Software,Hardware + Software,Manufacturing,1
40,Internet of Things,Internet of Things,"Social, Finance, Analytics, Advertising",1
41,Cloud Infrastructure,Cloud Infrastructure,"News, Search and Messaging",1
42,SaaS,SaaS,Others,1
43,Messaging,Messaging,"News, Search and Messaging",1
44,Information Technology,Information Technology,"Social, Finance, Analytics, Advertising",1
45,Consumer Electronics,Consumer Electronics,Manufacturing,1
46,Data Centers,Data Centers,"Social, Finance, Analytics, Advertising",1
47,Point of Sale,Point of Sale,Others,1
48,Artificial Intelligence,Artificial Intelligence,"Social, Finance, Analytics, Advertising",1
49,Android,Android,"Social, Finance, Analytics, Advertising",1
50,Enterprises,Enterprises,Others,1
51,Blogging Platforms,Blogging Platforms,"News, Search and Messaging",1
52,3D Technology,3D Technology,Manufacturing,1
53,3D,3D,Manufacturing,1
54,3D Printing,3D Printing,Manufacturing,1
55,Drones,Drones,Automotive & Sports,1
56,Technology,Technology,Others,1
57,Automotive,Automotive,Automotive & Sports,1
58,Automated Kiosk,Automated Kiosk,Automotive & Sports,1
59,Music,Music,Entertainment,1
60,Semiconductors,Semiconductors,Cleantech / Semiconductors,1
61,Web Hosting,Web Hosting,Others,1
62,Cloud Data Services,Cloud Data Services,"News, Search and Messaging",1
63,Consulting,Consulting,"Social, Finance, Analytics, Advertising",1
64,Game,Game,Entertainment,1
65,Physical Security,Physical Security,Others,1
66,Coupons,Coupons,"Social, Finance, Analytics, Advertising",1
67,Security,Security,Others,1
68,Databases,Databases,"Social, Finance, Analytics, Advertising",1
69,Flash Storage,Flash Storage,Others,1
70,Animal Feed,Animal Feed,Health,1
71,Machine Learning,Machine Learning,"Social, Finance, Analytics, Advertising",1
72,Commercial Real Estate,Commercial Real Estate,"News, Search and Messaging",1
73,Anything Capital Intensive,Anything Capital Intensive,"Social, Finance, Analytics, Advertising",1
74,Human Resources,Human Resources,Others,1
75,Office Space,Office Space,Others,1
76,Online Shopping,Online Shopping,"News, Search and Messaging",1
77,Carbon,Carbon,Cleantech / Semiconductors,1
78,Leisure,Leisure,Entertainment,1
79,Photography,Photography,Entertainment,1
80,Consumer Internet,Consumer Internet,"Social, Finance, Analytics, Advertising",1
81,Video,Video,Entertainment,1
82,Startups,Startups,Others,1
83,Accounting,Accounting,"Social, Finance, Analytics, Advertising",1
84,Concentrated Solar Power,Concentrated Solar Power,Cleantech / Semiconductors,1
85,B2B,B2B,"Social, Finance, Analytics, Advertising",1
86,Bicycles,Bicycles,Automotive & Sports,1
87,Content Creators,Content Creators,Entertainment,1
88,Brand Marketing,Brand Marketing,"Social, Finance, Analytics, Advertising",1
89,Networking,Networking,Others,1
90,Digital Entertainment,Digital Entertainment,Entertainment,1
91,Exercise,Exercise,Health,1
92,Food Processing,Food Processing,Manufacturing,1
93,Crowdsourcing,Crowdsourcing,"Social, Finance, Analytics, Advertising",1
94,Chemicals,Chemicals,Cleantech / Semiconductors,1
95,Consumer Goods,Consumer Goods,Manufacturing,1
96,Audio,Audio,Entertainment,1
97,Batteries,Batteries,Manufacturing,1
98,Search,Search,"News, Search and Messaging",1
99,Telecommunications,Telecommunications,Others,1
100,Social Media,Social Media,"Social, Finance, Analytics, Advertising",1
101,Health Care Information Technology,Health Care Information Technology,Health,1
102,Oil & Gas,Oil & Gas,Others,1
103,Audiobooks,Audiobooks,Entertainment,1
104,Business Services,Business Services,"Social, Finance, Analytics, Advertising",1
105,Doctors,Doctors,Health,1
106,Innovation Engineering,Innovation Engineering,"Social, Finance, Analytics, Advertising",1
