,name,country_code,primary_sector,main_sector,raised_amount_usd
36038,OneWeb,GBR,Technology,Others,500000000.0
41237,Liquid Telecom,GBR,Telecommunications,Others,150000000.0
38109,Six Degrees Group,GBR,Web Hosting,Others,93863505.0
22780,Farfetch,GBR,E-Commerce,Others,86000000.0
22781,Farfetch,GBR,E-Commerce,Others,66000000.0
37728,Xplornet,GBR,Web Hosting,Others,55000000.0
35919,Cambridge Quantum Computing Limited,GBR,Technology,Others,50000000.0
18924,NewVoiceMedia,GBR,Enterprise Software,Others,50000000.0
2676,Avecto,GBR,Software,Others,49000000.0
18392,EVIIVO,GBR,Enterprise Software,Others,48919968.0
5270,Picsel Technologies,GBR,Software,Others,46500000.0
17895,Adapt,GBR,Enterprise Software,Others,46168126.0
22905,GO Outdoors,GBR,E-Commerce,Others,45691558.0
23473,EZBOB,GBR,E-Commerce,Others,44941800.0
3536,OrderDynamics,GBR,Software,Others,41000000.0
46017,Aixuedai,GBR,iPhone,Others,40000000.0
23450,onefinestay,GBR,E-Commerce,Others,40000000.0
23237,Lyst,GBR,E-Commerce,Others,40000000.0
36075,SilverRail Technologies,GBR,Technology,Others,40000000.0
24173,WorldStores,GBR,E-Commerce,Others,38484629.0
18923,NewVoiceMedia,GBR,Enterprise Software,Others,35000000.0
45300,Telnic,GBR,Ediscovery,Others,35000000.0
3830,GameAccount Network,GBR,Software,Others,33638582.0
23368,MyOptique Group,GBR,E-Commerce,Others,31294496.0
23289,MetaPack,GBR,E-Commerce,Others,30305028.0
46820,Blink,GBR,Location Based Services,Others,30000000.0
5909,SiteMinder,GBR,Software,Others,30000000.0
23370,MyOptique Group,GBR,E-Commerce,Others,27227090.0
6278,Tideway,GBR,Software,Others,27000000.0
5266,picoChip,GBR,Software,Others,27000000.0
39629,Workable,GBR,Human Resources,Others,27000000.0
19465,Tesco,GBR,Enterprise Software,Others,26172716.0
23732,Seatwave,GBR,E-Commerce,Others,25000000.0
23451,onefinestay,GBR,E-Commerce,Others,25000000.0
2513,Antenna Software,GBR,Software,Others,24644493.0
5486,Ramesys (e-Business) Services,GBR,Software,Others,24250000.0
6663,Workshare,GBR,Software,Others,23000000.0
41216,Cambridge Broadband Networks,GBR,Telecommunications,Others,22500000.0
46320,Darktrace,GBR,Network Security,Others,22500000.0
5481,RadioScape,GBR,Software,Others,22274927.0
38148,Telinet,GBR,Web Hosting,Others,21720000.0
23926,The Cambridge Satchel Company,GBR,E-Commerce,Others,21000000.0
5264,picoChip,GBR,Software,Others,20500000.0
37687,Aepona,GBR,Web Hosting,Others,20000000.0
23222,LoveCrafts,GBR,E-Commerce,Others,20000000.0
5268,picoChip,GBR,Software,Others,20000000.0
18922,NewVoiceMedia,GBR,Enterprise Software,Others,20000000.0
22778,Farfetch,GBR,E-Commerce,Others,20000000.0
5265,picoChip,GBR,Software,Others,20000000.0
22779,Farfetch,GBR,E-Commerce,Others,18000000.0
46321,Darktrace,GBR,Network Security,Others,18000000.0
4345,Jobpartners,GBR,Software,Others,17226000.0
31826,Mobileway,GBR,Services,Others,17000000.0
5267,picoChip,GBR,Software,Others,17000000.0
23731,Seatwave,GBR,E-Commerce,Others,17000000.0
18933,Nexsan,GBR,Enterprise Software,Others,17000000.0
4081,Impero Software Limited,GBR,Software,Others,16845651.0
41215,Cambridge Broadband Networks,GBR,Telecommunications,Others,16500000.0
39242,SealedMedia,GBR,Security,Others,16500000.0
15919,Wear Inns,GBR,Hospitality,Others,16151032.0
23369,MyOptique Group,GBR,E-Commerce,Others,16016280.0
6706,Spotware Systems / cTrader,GBR,Software,Others,15973200.0
18466,GCI Com,GBR,Enterprise Software,Others,15882388.0
36098,Ultrahaptics,GBR,Technology,Others,15606530.0
18879,MOVE Guides,GBR,Enterprise Software,Others,15600000.0
24174,WorldStores,GBR,E-Commerce,Others,15200000.0
2514,Antenna Software,GBR,Software,Others,15000001.0
2712,Azure Solutions,GBR,Software,Others,15000000.0
4271,ip.access,GBR,Software,Others,15000000.0
39264,SenSage,GBR,Security,Others,15000000.0
6352,Tribold,GBR,Software,Others,15000000.0
36077,SilverRail Technologies,GBR,Technology,Others,15000000.0
3641,EnvironmentIQ,GBR,Software,Others,15000000.0
23420,Notonthehighstreet,GBR,E-Commerce,Others,15000000.0
23367,MyOptique Group,GBR,E-Commerce,Others,14656237.0
24054,KaliteUKASH,GBR,E-Commerce,Others,14400000.0
23425,Ocapo,GBR,E-Commerce,Others,14394888.0
23236,Lyst,GBR,E-Commerce,Others,14000000.0
49348,State,GBR,Open Source,Others,14000000.0
18372,Enigmatec,GBR,Enterprise Software,Others,14000000.0
3014,Celona Technologies,GBR,Software,Others,14000000.0
22278,ACS Clothing,GBR,E-Commerce,Others,13359377.0
23366,MyOptique Group,GBR,E-Commerce,Others,13038376.0
4963,Njini,GBR,Software,Others,13000000.0
22279,ACS Clothing,GBR,E-Commerce,Others,12879637.0
22369,BathEmpire,GBR,E-Commerce,Others,12879637.0
38108,Six Degrees Group,GBR,Web Hosting,Others,12529381.0
18373,Enigmatec,GBR,Enterprise Software,Others,12500000.0
45239,Prodigy Finance,GBR,Alumni,Others,12500000.0
23452,onefinestay,GBR,E-Commerce,Others,12200000.0
22370,Bathrooms.com,GBR,E-Commerce,Others,12060066.0
15908,Velocity,GBR,Hospitality,Others,12000000.0
3570,Electric Cloud,GBR,Software,Others,12000000.0
3555,Eglue Business Technologies,GBR,Software,Others,12000000.0
23422,Notonthehighstreet,GBR,E-Commerce,Others,11900000.0
19376,SRL Global,GBR,Enterprise Software,Others,11625112.0
40438,Native Networks,GBR,Networking,Others,11500000.0
46577,Yieldify,GBR,Algorithms,Others,11500000.0
37703,APSU,GBR,Web Hosting,Others,11200000.0
6353,Tribold,GBR,Software,Others,11000000.0
19494,Tigerspike,GBR,Enterprise Software,Others,11000000.0
3367,Cytura Corp,GBR,Software,Others,11000000.0
6343,Trema Group,GBR,Software,Others,10510000.0
46698,Valldata Services,GBR,Nonprofits,Others,10351376.0
38026,OpenCloud,GBR,Web Hosting,Others,10250000.0
39265,SenSage,GBR,Security,Others,10000000.0
18603,InforSense,GBR,Enterprise Software,Others,10000000.0
2769,BIZZBY,GBR,Software,Others,10000000.0
4909,Neverfail,GBR,Software,Others,10000000.0
22550,ChemistDirect,GBR,E-Commerce,Others,10000000.0
14086,Fuse Universal,GBR,Education,Others,10000000.0
50736,Yoyo Wallet,GBR,Loyalty Programs,Others,10000000.0
19059,Performance Horizon,GBR,Enterprise Software,Others,10000000.0
37685,Aepona,GBR,Web Hosting,Others,10000000.0
37686,Aepona,GBR,Web Hosting,Others,10000000.0
37727,Xplornet,GBR,Web Hosting,Others,10000000.0
3556,Eglue Business Technologies,GBR,Software,Others,10000000.0
38976,ETF Securities,GBR,Security,Others,10000000.0
38028,OpenCloud,GBR,Web Hosting,Others,10000000.0
4273,ip.access,GBR,Software,Others,10000000.0
18698,Kelway,GBR,Enterprise Software,Others,9690000.0
19129,Qinec,GBR,Enterprise Software,Others,9182806.0
18985,OmPrompt,GBR,Enterprise Software,Others,9068595.0
41217,Cambridge Broadband Networks,GBR,Telecommunications,Others,9000000.0
3565,Electric Cloud,GBR,Software,Others,9000000.0
50334,Lost My Name,GBR,Kids,Others,9000000.0
36076,SilverRail Technologies,GBR,Technology,Others,9000000.0
39243,SealedMedia,GBR,Security,Others,8500000.0
14505,DUNCAN & Todd,GBR,Local Businesses,Others,8485408.0
19466,Tesco,GBR,Enterprise Software,Others,8437845.0
50254,E-LeatherGroup,GBR,Textiles,Others,8425073.0
6761,Zynstra,GBR,Software,Others,8400000.0
22914,Gousto,GBR,E-Commerce,Others,8300000.0
3535,OrderDynamics,GBR,Software,Others,8260000.0
18880,MOVE Guides,GBR,Enterprise Software,Others,8199999.0
15886,Suso,GBR,Hospitality,Others,8076566.0
5066,Open Energi,GBR,Software,Others,8056070.0
5783,Semmle,GBR,Software,Others,8000000.0
23730,Seatwave,GBR,E-Commerce,Others,8000000.0
46568,Thread,GBR,Algorithms,Others,8000000.0
3566,Electric Cloud,GBR,Software,Others,8000000.0
3567,Electric Cloud,GBR,Software,Others,8000000.0
38174,Vodat International,GBR,Web Hosting,Others,7927687.0
31447,MedaPhor,GBR,EdTech,Others,7859531.0
38027,OpenCloud,GBR,Web Hosting,Others,7722766.0
4396,KeTech,GBR,Software,Others,7623462.0
2525,AOMi,GBR,Software,Others,7576257.0
23738,SecretSales,GBR,E-Commerce,Others,7560822.0
41214,Cambridge Broadband Networks,GBR,Telecommunications,Others,7500000.0
6563,Volantis Systems,GBR,Software,Others,7500000.0
18932,Nexsan,GBR,Enterprise Software,Others,7500000.0
23223,LoveCrafts,GBR,E-Commerce,Others,7500000.0
3982,Helveta,GBR,Software,Others,7270000.0
22805,Fits.me,GBR,E-Commerce,Others,7200000.0
18888,Mtivity,GBR,Enterprise Software,Others,7080000.0
6406,Unii,GBR,Software,Others,7039132.0
13986,Peak,GBR,Education,Others,7000000.0
5904,Site Intelligence,GBR,Software,Others,7000000.0
22907,GoCardless,GBR,E-Commerce,Others,7000000.0
19448,Telepartner,GBR,Enterprise Software,Others,7000000.0
5269,picoChip,GBR,Software,Others,7000000.0
6641,WinBuyer,GBR,Software,Others,6900000.0
23891,Swoon Editions,GBR,E-Commerce,Others,6802219.0
31343,Busuu,GBR,EdTech,Others,6700000.0
46687,Sandwell Community Caring Trust (SCCT),GBR,Nonprofits,Others,6515581.0
4343,Jobpartners,GBR,Software,Others,6513500.0
22611,Crawford Scientific,GBR,E-Commerce,Others,6469163.0
3981,Helveta,GBR,Software,Others,6427597.0
2515,Antenna Software,GBR,Software,Others,6374457.0
18921,NewVoiceMedia,GBR,Enterprise Software,Others,6300000.0
18343,Ecrebo,GBR,Enterprise Software,Others,6300000.0
18299,Datanomic,GBR,Enterprise Software,Others,6300000.0
5600,Rhetorical Systems,GBR,Software,Others,6282049.0
39267,SenSage,GBR,Security,Others,6250000.0
23254,Marcandi,GBR,E-Commerce,Others,6190000.0
23244,MadBid.com,GBR,E-Commerce,Others,6161968.0
37756,Bluebell Telecom,GBR,Web Hosting,Others,6124490.0
18070,Blackbay,GBR,Enterprise Software,Others,6110000.0
39336,Usentric,GBR,Security,Others,6110000.0
49469,deltaDOT,GBR,Life Sciences,Others,6100000.0
39328,TSSI Systems,GBR,Security,Others,6084330.0
46555,eCourier.co.uk,GBR,Algorithms,Others,6064606.0
15688,Barburrito,GBR,Hospitality,Others,6022987.0
18371,Enigmatec,GBR,Enterprise Software,Others,6000000.0
5110,Origami Energy,GBR,Software,Others,5809932.0
19537,Trampoline Systems,GBR,Enterprise Software,Others,5799119.0
6746,Zeus,GBR,Software,Others,5755911.0
5642,Rootstock Software,GBR,Software,Others,5750000.0
18435,Flexiant,GBR,Enterprise Software,Others,5716641.0
5908,SiteMinder,GBR,Software,Others,5715957.0
38939,Deep-Secure,GBR,Security,Others,5596159.0
3095,Clarisite,GBR,Software,Others,5500000.0
38840,Biometric Security,GBR,Security,Others,5500000.0
6726,ZBD Displays,GBR,Software,Others,5430000.0
15679,Almondy,GBR,Hospitality,Others,5407412.0
22875,Gear4music.com,GBR,E-Commerce,Others,5385352.0
22806,Fits.me,GBR,E-Commerce,Others,5300000.0
6747,Zeus,GBR,Software,Others,5100000.0
14176,Medikidz,GBR,Education,Others,5055753.0
4344,Jobpartners,GBR,Software,Others,5023000.0
23238,Lyst,GBR,E-Commerce,Others,5000000.0
36074,SilverRail Technologies,GBR,Technology,Others,5000000.0
19570,Udex,GBR,Enterprise Software,Others,5000000.0
23577,PhotoBox,GBR,E-Commerce,Others,5000000.0
39268,SenSage,GBR,Security,Others,5000000.0
49614,ParcelGenie,GBR,Gift Card,Others,5000000.0
50791,Vector Watch,GBR,Watch,Others,5000000.0
2890,BullGuard,GBR,Software,Others,5000000.0
4962,Njini,GBR,Software,Others,5000000.0
2718,Bacula Systems,GBR,Software,Others,5000000.0
4172,Intamac Systems,GBR,Software,Others,4910800.0
23660,Reevoo,GBR,E-Commerce,Others,4909277.0
4759,Mobile Cohesion,GBR,Software,Others,4800000.0
23793,Shuropody,GBR,E-Commerce,Others,4792797.0
23474,EZBOB,GBR,E-Commerce,Others,4715880.0
31344,Busuu,GBR,EdTech,Others,4700000.0
