,primary_sector,count,sum,category_list,main_sector,value
0,3D,44,385954865.0,3D,Manufacturing,1
1,3D Printing,17,179566413.0,3D Printing,Manufacturing,1
2,3D Technology,8,166657999.0,3D Technology,Manufacturing,1
3,Accounting,54,474950137.0,Accounting,"Social, Finance, Analytics, Advertising",1
4,Active Lifestyle,7,101340000.0,Active Lifestyle,Health,1
5,Ad Targeting,102,1531938833.0,Ad Targeting,"Social, Finance, Analytics, Advertising",1
6,Advanced Materials,10,128800000.0,Advanced Materials,Manufacturing,1
7,Adventure Travel,3,6350000.0,Adventure Travel,Automotive & Sports,1
8,Advertising,1725,21602842819.0,Advertising,"Social, Finance, Analytics, Advertising",1
9,Advertising Exchanges,13,139253735.0,Advertising Exchanges,"Social, Finance, Analytics, Advertising",1
10,Advertising Networks,4,7250000.0,Advertising Networks,"Social, Finance, Analytics, Advertising",1
11,Advertising Platforms,34,502354998.0,Advertising Platforms,"Social, Finance, Analytics, Advertising",1
12,Advice,13,142740578.0,Advice,Others,1
13,Aerospace,51,1900432805.0,Aerospace,Automotive & Sports,1
14,Agriculture,62,616008457.0,Agriculture,Manufacturing,1
15,Algorithms,13,58326275.0,Algorithms,Others,1
16,All Markets,12,54946086.0,All Markets,Others,1
17,All Students,37,839854852.0,All Students,Others,1
18,Alumni,7,30090000.0,Alumni,Others,1
19,Android,246,2282605853.0,Android,"Social, Finance, Analytics, Advertising",1
20,Angels,3,16400000.0,Angels,Others,1
21,Animal Feed,3,10050000.0,Animal Feed,Health,1
22,Anything Capital Intensive,1,22000.0,Anything Capital Intensive,"Social, Finance, Analytics, Advertising",1
23,App Discovery,2,1268469.0,App Discovery,"News, Search and Messaging",1
24,App Marketing,28,244113749.0,App Marketing,"News, Search and Messaging",1
25,App Stores,6,35480000.0,App Stores,"News, Search and Messaging",1
26,Application Performance Monitoring,45,735403640.0,Application Performance Monitoring,"News, Search and Messaging",1
27,Application Platforms,56,685422335.0,Application Platforms,"News, Search and Messaging",1
28,Apps,303,3826022874.0,Apps,"News, Search and Messaging",1
29,Architecture,16,126179748.0,Architecture,Manufacturing,1
30,Archiving,17,203386770.0,Archiving,"News, Search and Messaging",1
31,Art,41,358545393.0,Art,Entertainment,1
32,Artificial Intelligence,33,252873622.0,Artificial Intelligence,"Social, Finance, Analytics, Advertising",1
33,Artists Globally,19,173730159.0,Artists Globally,Entertainment,1
34,Assisitive Technology,11,9652292.0,Assisitive Technology,Health,1
35,Assisted Living,9,29848347.0,Assisted Living,Health,1
36,Auctions,27,262329521.0,Auctions,"Social, Finance, Analytics, Advertising",1
37,Audio,76,527019766.0,Audio,Entertainment,1
38,Audiobooks,1,600000.0,Audiobooks,Entertainment,1
39,Augmented Reality,15,683869637.0,Augmented Reality,"Social, Finance, Analytics, Advertising",1
40,Auto,13,135695800.0,Auto,Automotive & Sports,1
41,Automated Kiosk,4,37637500.0,Automated Kiosk,Automotive & Sports,1
42,Automotive,196,7190922935.0,Automotive,Automotive & Sports,1
43,B2B,86,858515868.0,B2B,"Social, Finance, Analytics, Advertising",1
44,BPO Services,3,19500000.0,BPO Services,"Social, Finance, Analytics, Advertising",1
45,Babies,8,163975539.0,Babies,Health,1
46,Baby Accessories,4,35196193.0,Baby Accessories,Health,1
47,Baby Boomers,4,23519998.0,Baby Boomers,Health,1
48,Baby Safety,1,1875000.0,Baby Safety,Health,1
49,Banking,61,480869793.0,Banking,"Social, Finance, Analytics, Advertising",1
50,Batteries,61,1150027885.0,Batteries,Manufacturing,1
51,Beauty,60,624613552.0,Beauty,Health,1
52,Bicycles,5,14450000.0,Bicycles,Automotive & Sports,1
53,Big Data,202,2581505151.0,Big Data,"Social, Finance, Analytics, Advertising",1
54,Billing,30,442450500.0,Billing,"Social, Finance, Analytics, Advertising",1
55,Bio-Pharm,68,1410303554.0,Bio-Pharm,Cleantech / Semiconductors,1
56,Biofuels,3,23040019.0,Biofuels,Cleantech / Semiconductors,1
57,Bioinformatics,6,11088328.0,Bioinformatics,Cleantech / Semiconductors,1
58,Biometrics,16,264977849.0,Biometrics,Cleantech / Semiconductors,1
59,Biotechnology,5577,66668669984.0,Biotechnology,Cleantech / Semiconductors,1
60,Bitcoin,28,437750598.0,Bitcoin,Cleantech / Semiconductors,1
61,Blogging Platforms,61,681494028.0,Blogging Platforms,"News, Search and Messaging",1
62,Brand Marketing,69,362613007.0,Brand Marketing,"Social, Finance, Analytics, Advertising",1
63,Brewing,1,4400000.0,Brewing,Entertainment,1
64,Bridging Online and Offline,10,116700000.0,Bridging Online and Offline,"Social, Finance, Analytics, Advertising",1
65,Broadcasting,41,411250503.0,Broadcasting,"News, Search and Messaging",1
66,Brokers,12,214964228.0,Brokers,"News, Search and Messaging",1
67,Browser Extensions,15,132000000.0,Browser Extensions,"News, Search and Messaging",1
68,Building Products,3,31400000.0,Building Products,Manufacturing,1
69,Business Development,19,150228160.0,Business Development,"Social, Finance, Analytics, Advertising",1
70,Business Information Systems,3,21060000.0,Business Information Systems,"Social, Finance, Analytics, Advertising",1
71,Business Intelligence,41,870732887.0,Business Intelligence,"Social, Finance, Analytics, Advertising",1
72,Business Productivity,18,274642716.0,Business Productivity,"Social, Finance, Analytics, Advertising",1
73,Business Services,176,2269455132.0,Business Services,"Social, Finance, Analytics, Advertising",1
74,CAD,8,162945693.0,CAD,Automotive & Sports,1
75,CRM,85,841003402.0,CRM,"Social, Finance, Analytics, Advertising",1
76,Cable,10,113261099.0,Cable,"News, Search and Messaging",1
77,Call Center Automation,5,22850000.0,Call Center Automation,"News, Search and Messaging",1
78,Carbon,5,13500000.0,Carbon,Cleantech / Semiconductors,1
79,Career Planning,10,36950000.0,Career Planning,"Social, Finance, Analytics, Advertising",1
80,Cars,15,155101487.0,Cars,Automotive & Sports,1
81,Celebrity,6,35510000.0,Celebrity,Entertainment,1
82,Certification Test,10,89300000.0,Certification Test,"News, Search and Messaging",1
83,Charity,5,23275000.0,Charity,"Social, Finance, Analytics, Advertising",1
84,Charter Schools,5,14315378.0,Charter Schools,"Social, Finance, Analytics, Advertising",1
85,Chat,59,530472580.0,Chat,"News, Search and Messaging",1
86,Chemicals,22,460043166.0,Chemicals,Cleantech / Semiconductors,1
87,Child Care,1,9600000.0,Child Care,Health,1
88,Classifieds,2,88800000.0,Classifieds,"News, Search and Messaging",1
89,Clean Energy,70,1353641550.0,Clean Energy,Cleantech / Semiconductors,1
90,Clean Technology,1185,18245591909.0,Clean Technology,Cleantech / Semiconductors,1
91,Clean Technology IT,1,960205.0,Clean Technology IT,Cleantech / Semiconductors,1
92,Clinical Trials,11,99496140.0,Clinical Trials,Health,1
93,Cloud Computing,494,6122604057.0,Cloud Computing,"News, Search and Messaging",1
94,Cloud Data Services,65,1527832102.0,Cloud Data Services,"News, Search and Messaging",1
95,Cloud Infrastructure,57,572854992.0,Cloud Infrastructure,"News, Search and Messaging",1
96,Cloud Security,64,841266308.0,Cloud Security,"News, Search and Messaging",1
97,Coffee,6,146100000.0,Coffee,Entertainment,1
98,Collaboration,179,2492305790.0,Collaboration,"Social, Finance, Analytics, Advertising",1
99,Collaborative Consumption,14,93965000.0,Collaborative Consumption,"Social, Finance, Analytics, Advertising",1
100,College Campuses,3,8900000.0,College Campuses,Others,1
101,College Recruiting,2,10200000.0,College Recruiting,"Social, Finance, Analytics, Advertising",1
102,Colleges,65,672244642.0,Colleges,"Social, Finance, Analytics, Advertising",1
103,Comics,4,19605514.0,Comics,Entertainment,1
104,Commercial Real Estate,27,242595713.0,Commercial Real Estate,"News, Search and Messaging",1
105,Commercial Solar,4,15860000.0,Commercial Solar,Cleantech / Semiconductors,1
106,Commodities,4,407520000.0,Commodities,Cleantech / Semiconductors,1
107,Communications Hardware,63,1139681621.0,Communications Hardware,Manufacturing,1
108,Communications Infrastructure,43,610676222.0,Communications Infrastructure,Manufacturing,1
109,Communities,52,693516666.0,Communities,"Social, Finance, Analytics, Advertising",1
