,name,country_code,primary_sector,main_sector,raised_amount_usd
22819,Flipkart,IND,E-Commerce,Others,1000000000.0
22823,Flipkart,IND,E-Commerce,Others,700000000.0
31854,Tata Teleservices,IND,Services,Others,212000000.0
22815,Flipkart,IND,E-Commerce,Others,210000000.0
22816,Flipkart,IND,E-Commerce,Others,200000000.0
22818,Flipkart,IND,E-Commerce,Others,160000000.0
22820,Flipkart,IND,E-Commerce,Others,150000000.0
23823,Snapdeal,IND,E-Commerce,Others,133699998.0
4051,iGATE/Patni Computers,IND,Software,Others,100000000.0
23565,Pepperfry.com,IND,E-Commerce,Others,100000000.0
15848,OYO Rooms,IND,Hospitality,Others,100000000.0
42627,Delhivery,IND,Logistics,Others,85000000.0
49774,CESC,IND,Utilities,Others,80000000.0
23826,Snapdeal,IND,E-Commerce,Others,75000000.0
3755,Financial Software Systems,IND,Software,Others,57000000.0
23379,Naaptol,IND,E-Commerce,Others,51700000.0
23822,Snapdeal,IND,E-Commerce,Others,50000000.0
18475,GirnarSoft,IND,Enterprise Software,Others,50000000.0
23359,Myntra,IND,E-Commerce,Others,50000000.0
24063,Urban Ladder,IND,E-Commerce,Others,50000000.0
22423,Bigbasket.com,IND,E-Commerce,Others,50000000.0
14518,Little,IND,Local Businesses,Others,50000000.0
14344,TutorVista.com,IND,Education,Others,50000000.0
22416,BIBA Apparels,IND,E-Commerce,Others,48600000.0
3957,Happiest Minds Technolgoies,IND,Software,Others,45000000.0
31180,Ariisto,IND,Real Estate,Others,42000000.0
22788,Fashion & You,IND,E-Commerce,Others,40000000.0
22918,GreenDust,IND,E-Commerce,Others,40000000.0
23825,Snapdeal,IND,E-Commerce,Others,40000000.0
42626,Delhivery,IND,Logistics,Others,35000000.0
22608,Craftsvilla,IND,E-Commerce,Others,34000000.0
22424,Bigbasket.com,IND,E-Commerce,Others,32799999.0
15925,ZO Rooms,IND,Hospitality,Others,32000000.0
22514,CaratLane,IND,E-Commerce,Others,31000000.0
31293,Sadbhav Infrastructure Projects,IND,Real Estate,Others,31000000.0
31274,PropTiger,IND,Real Estate,Others,30000000.0
31196,CommonFloor,IND,Real Estate,Others,30000000.0
23195,LimeRoad,IND,E-Commerce,Others,30000000.0
22965,HomeShop18,IND,E-Commerce,Others,30000000.0
39054,iPolicy Networks,IND,Security,Others,29000000.0
23884,sulekha.com,IND,E-Commerce,Others,28100000.0
14240,S.Chand & Company,IND,Education,Others,27000000.0
22803,FirstCry.com,IND,E-Commerce,Others,26000000.0
15847,OYO Rooms,IND,Hospitality,Others,25000000.0
23360,Myntra,IND,E-Commerce,Others,25000000.0
23362,Myntra,IND,E-Commerce,Others,25000000.0
22572,Citrus Payment,IND,E-Commerce,Others,25000000.0
3003,CE Info Systems,IND,Software,Others,25000000.0
23382,Naaptol,IND,E-Commerce,Others,25000000.0
4137,Infrasoft Technologies,IND,Software,Others,24800000.0
6051,Startup Village,IND,Software,Others,24000000.0
31307,The Wadhwa Group,IND,Real Estate,Others,24000000.0
38142,Tejas Networks India,IND,Web Hosting,Others,24000000.0
48512,VRL Logistics,IND,Logistics Company,Others,22400000.0
4878,NeST Group,IND,Software,Others,22250000.0
23381,Naaptol,IND,E-Commerce,Others,21000000.0
22335,Au FINANCIERS,IND,E-Commerce,Others,21000000.0
24062,Urban Ladder,IND,E-Commerce,Others,21000000.0
23358,Myntra,IND,E-Commerce,Others,20750000.0
38143,Tejas Networks India,IND,Web Hosting,Others,20000000.0
6454,Venture Infotek Global Private,IND,Software,Others,20000000.0
23863,Stayzilla,IND,E-Commerce,Others,20000000.0
22817,Flipkart,IND,E-Commerce,Others,20000000.0
14393,Zee Learn,IND,Education,Others,20000000.0
